patient_id	mean_cooccurrence_win_97_sliding_97_numbin_128_offset_17_clusterProminence	mean_cooccurrence_win_97_sliding_97_numbin_128_offset_17_clusterShade	mean_cooccurrence_win_97_sliding_97_numbin_128_offset_17_correlation	mean_cooccurrence_win_97_sliding_97_numbin_128_offset_17_energy	mean_cooccurrence_win_97_sliding_97_numbin_128_offset_17_entropy	mean_cooccurrence_win_97_sliding_97_numbin_128_offset_17_haralickCorrelation	mean_cooccurrence_win_97_sliding_97_numbin_128_offset_17_inertia	mean_cooccurrence_win_97_sliding_97_numbin_128_offset_17_inverseDifferenceMoment	mean_edgeenhance_win_97_sliding_97_Eta_10_epsi_10_radius_edge_8_radius_8_edge_enhance	mean_graylevel_win_97_sliding_97_numbin_128_5th	mean_graylevel_win_97_sliding_97_numbin_128_5thmean	mean_graylevel_win_97_sliding_97_numbin_128_95th	mean_graylevel_win_97_sliding_97_numbin_128_95thmean	mean_graylevel_win_97_sliding_97_numbin_128_entropy	mean_graylevel_win_97_sliding_97_numbin_128_kurtosis	mean_graylevel_win_97_sliding_97_numbin_128_max	mean_graylevel_win_97_sliding_97_numbin_128_mean	mean_graylevel_win_97_sliding_97_numbin_128_min	mean_graylevel_win_97_sliding_97_numbin_128_sigma	mean_graylevel_win_97_sliding_97_numbin_128_skewness	mean_graylevel_win_97_sliding_97_numbin_128_sum	mean_runlength_win_97_sliding_97_numbin_128_GreyLevelNonuniformity	mean_runlength_win_97_sliding_97_numbin_128_HighGreyLevelRunEmphasis	mean_runlength_win_97_sliding_97_numbin_128_LongRunEmphasis	mean_runlength_win_97_sliding_97_numbin_128_LowGreyLevelRunEmphasis	mean_runlength_win_97_sliding_97_numbin_128_RunLengthNonuniformity	mean_runlength_win_97_sliding_97_numbin_128_RunPercentage	mean_runlength_win_97_sliding_97_numbin_128_ShortRunEmphasis	mean_win_97_sliding_97_box_counting	std_cooccurrence_win_97_sliding_97_numbin_128_offset_17_clusterProminence	std_cooccurrence_win_97_sliding_97_numbin_128_offset_17_clusterShade	std_cooccurrence_win_97_sliding_97_numbin_128_offset_17_correlation	std_cooccurrence_win_97_sliding_97_numbin_128_offset_17_energy	std_cooccurrence_win_97_sliding_97_numbin_128_offset_17_entropy	std_cooccurrence_win_97_sliding_97_numbin_128_offset_17_haralickCorrelation	std_cooccurrence_win_97_sliding_97_numbin_128_offset_17_inertia	std_cooccurrence_win_97_sliding_97_numbin_128_offset_17_inverseDifferenceMoment	std_edgeenhance_win_97_sliding_97_Eta_10_epsi_10_radius_edge_8_radius_8_edge_enhance	std_graylevel_win_97_sliding_97_numbin_128_5th	std_graylevel_win_97_sliding_97_numbin_128_5thmean	std_graylevel_win_97_sliding_97_numbin_128_95th	std_graylevel_win_97_sliding_97_numbin_128_95thmean	std_graylevel_win_97_sliding_97_numbin_128_entropy	std_graylevel_win_97_sliding_97_numbin_128_kurtosis	std_graylevel_win_97_sliding_97_numbin_128_max	std_graylevel_win_97_sliding_97_numbin_128_mean	std_graylevel_win_97_sliding_97_numbin_128_min	std_graylevel_win_97_sliding_97_numbin_128_sigma	std_graylevel_win_97_sliding_97_numbin_128_skewness	std_graylevel_win_97_sliding_97_numbin_128_sum	std_runlength_win_97_sliding_97_numbin_128_GreyLevelNonuniformity	std_runlength_win_97_sliding_97_numbin_128_HighGreyLevelRunEmphasis	std_runlength_win_97_sliding_97_numbin_128_LongRunEmphasis	std_runlength_win_97_sliding_97_numbin_128_LowGreyLevelRunEmphasis	std_runlength_win_97_sliding_97_numbin_128_RunLengthNonuniformity	std_runlength_win_97_sliding_97_numbin_128_RunPercentage	std_runlength_win_97_sliding_97_numbin_128_ShortRunEmphasis	std_win_97_sliding_97_box_counting
4293341	231854.0	87.69596999999999	0.008272436	0.002229129	9.120194999999999	2667929.0	58.513690000000004	0.1588908	3.24137e-07	-0.06493307	-0.09542642	0.3465989	0.38749540000000005	6.173655	2.77222	0.6771755	0.1364604	-0.1810773	0.1282317	0.18811	1283.955	138.4427	3300.219	1.000034	0.001782712	8498.914	0.9032844000000001	0.9999918999999999	0.8745924999999999	847246.2	4523.147	0.004616769000000001	0.0009867453	0.5235295999999999	3429534.0	33.35841	0.02890668	5.873852e-07	0.9105575	0.9183986999999999	0.7697136	0.7689229000000001	0.3292104	0.7959641	0.5094555000000001	0.8281868	0.9209229999999999	0.08143331	0.4091224	7792.411999999999	28.369359999999997	1245.393	0.0004079053	0.002400774	948.0425	0.1007168	9.661752000000001e-05	0.17300710000000002
4293341	220131.8	57.40112	0.008865424	0.002492695	9.000242	2652934.0	50.51278	0.1648145	2.9477140000000003e-07	-0.04879826	-0.07902417	0.3472943	0.38613359999999997	6.17373	2.792577	0.6660066	0.14695629999999998	-0.1600441	0.1231672	0.1684226	1382.7120000000002	137.1683	3379.889	1.000019	0.0018782470000000002	8460.181	0.8991638000000001	0.9999952	0.8740393	978644.6	4902.602	0.0051191940000000005	0.001229738	0.5885205	3659134.0	31.82025	0.03110815	6.823155e-07	0.9227914	0.9332423000000001	0.7604509	0.7595109999999999	0.3397118	0.788312	0.4956911	0.8301736999999999	0.9424604999999999	0.08234749	0.4261206	7811.106	29.454759999999997	1335.621	0.00020874849999999998	0.002955715	980.7358	0.1042093	5.2185020000000004e-05	0.191691
4170077	430322.8	-4.109908	0.005215074	0.0014549510000000001	9.575194999999999	5470462.0	79.74027	0.1276025	4.979333e-07	-0.05044314	-0.08970029	0.4819808	0.5294036	6.315727	2.6782619999999997	0.7720617	0.21349110000000002	-0.1983165	0.1669537	0.1172167	2008.7379999999998	126.761	3810.0209999999997	1.0	0.0012828289999999999	8625.168	0.9166931999999999	1.0	0.8614627	977931.9	4123.366	0.002175625	0.0005837773	0.4779915	6048244.0	30.875690000000002	0.01907774	5.432601e-07	0.876417	0.8847398000000001	0.6531276	0.6530616	0.24609879999999998	0.9763143	0.4782143	0.7494930999999999	0.8938894000000001	0.10133110000000001	0.3667843	7051.981	27.24662	1146.761	0.0	0.001030013	589.586	0.06266193	0.0	0.1607144
4170077	485543.4	-491.9484	0.005464586	0.001440105	9.594522999999999	6410489.0	74.75846999999999	0.1299604	6.109036e-07	-0.08931114	-0.1306649	0.48532420000000004	0.5340441	6.3468230000000005	2.590689	0.7807874	0.19925610000000002	-0.2424979	0.179876	0.09729751	1874.7979999999998	122.4161	3839.7270000000003	1.0	0.001338282	8557.746	0.9095278	1.0	0.8370274999999999	1151884.0	5664.526	0.002165463	0.0006180866	0.4842643	9297978.0	32.02333	0.02149557	1.4770760000000002e-06	0.910127	0.9231509	0.6939945	0.6980838	0.2503203	0.6769722	0.5406333000000001	0.7741935000000001	0.9460091999999999	0.12620510000000001	0.36358440000000003	7284.387	27.91259	1170.119	0.0	0.00102632	636.0107	0.067596	0.0	0.1706304
3560959	705823.8	-491.9194	0.0032358940000000004	0.001117985	9.76149	10250220.0	115.5893	0.1100472	9.279052000000001e-07	0.008859579	-0.05630775	0.7367901	0.8118278	6.255535	2.976099	1.056806	0.3757855	-0.2563231	0.2244902	0.08623642	3535.7670000000003	140.7888	4180.195	1.0	0.0008244829	8912.616	0.9472437	1.0	0.9655609	1134853.0	6845.529	0.001193592	0.0004106226	0.46705420000000003	10708900.0	26.480659999999997	0.01388537	1.019186e-06	0.6909339	0.7173083	0.4449883	0.45387380000000005	0.253763	0.7777483000000001	0.4805213	0.5172657	0.7906920000000001	0.1331885	0.42647650000000004	4866.9529999999995	30.804479999999998	1131.34	0.0	0.0003545347	210.4957	0.02237174	0.0	0.1293105
3560959	686933.1	-1608.9370000000001	0.003356827	0.001011042	9.863842	11518750.0	118.5414	0.1088471	9.471859000000001e-07	-0.09235609	-0.1608754	0.6757941999999999	0.7504165	6.237851999999999	2.891784	1.015833	0.3032301	-0.3699605	0.2359011	0.06375326	2853.093	141.5559	4256.986	1.0	0.0007783403	8921.234	0.9481598	1.0	0.9719861999999999	825042.5	5935.936	0.0013350279999999998	0.00038471980000000006	0.4380499	10586540.0	30.022540000000003	0.01419092	1.122899e-06	0.7597404999999999	0.7880816999999999	0.4572197	0.46063109999999996	0.279319	0.9199257	0.4801055	0.5613092	0.8348158999999999	0.1181336	0.4700844	5281.358	33.06907	1216.289	0.0	0.0003389123	174.6056	0.0185573	0.0	0.11828589999999999
4344474	108067.3	86.0744	0.009027658000000001	0.0029346629999999997	8.803567	1931842.0	42.24654	0.17440350000000002	1.8741239999999998e-07	-0.03751017	-0.06471138	0.2992555	0.3320895	6.115684	2.7801709999999997	0.6131810999999999	0.1276813	-0.14641529999999997	0.10456939999999999	0.158451	1201.35	145.2905	3419.4840000000004	1.000058	0.001560325	8597.936	0.9138156999999999	0.9999855	0.9441113000000001	190294.0	1267.577	0.005407518	0.0013438929999999999	0.6185921	2098554.0	15.409839999999999	0.02921134	2.111356e-07	0.9208613999999999	0.9303338	0.7480659000000001	0.7425946999999999	0.3414895	0.6986328	0.41949790000000003	0.8312973	0.9397004000000001	0.06585679	0.3196751	7821.6759999999995	29.962490000000003	1256.5910000000001	0.0006731174	0.00230217	981.7676	0.1042664	0.00016827930000000001	0.19312179999999998
4344474	134742.2	10.14883	0.007170189	0.002747774	8.885862	2400291.0	46.87275	0.1657953	2.2957090000000002e-07	-0.04291585	-0.07366253	0.3162618	0.35034740000000003	6.0926849999999995	2.8391889999999997	0.6139616999999999	0.13507929999999999	-0.16829470000000002	0.1113576	0.13735450000000002	1270.964	150.4909	3602.434	1.000009	0.0011693019999999999	8727.58	0.9275808000000001	0.9999978	0.9821959000000001	261925.3	1401.237	0.003507998	0.0012344069999999999	0.6265776999999999	3183043.0	16.26568	0.02346908	3.289065e-07	0.9122686	0.9270200000000001	0.6940649	0.6867850999999999	0.2989731	0.9183459	0.380569	0.7957922	0.9481453000000001	0.08143092	0.33769879999999997	7487.609	32.584309999999995	1147.942	0.0001522723	0.00140575	811.2148	0.08620248	3.806786e-05	0.1927364
3888798	555484.5	-234.0742	0.004138745	0.001188251	9.761396000000001	7502280.0	105.4757	0.115942	7.657748000000001e-07	-0.04342546	-0.1013082	0.5835074	0.6414499	6.340971	2.822579	0.8412082000000001	0.26796190000000003	-0.2525622	0.1922118	0.06922745	2521.254	128.0757	4334.92	1.0	0.0009615888	8704.594000000001	0.9251349	1.0	0.8698701999999999	976348.0	6687.278	0.001598623	0.0004781512	0.411843	7739996.0	29.48964	0.01694123	8.303631999999999e-07	0.7318545999999999	0.7563671	0.5014095000000001	0.4912805	0.1966214	0.8943135	0.3989745	0.6026245	0.7975177	0.117966	0.46859540000000005	5670.094	23.1344	1198.288	0.0	0.0006258297	472.1539	0.05018109	0.0	0.1334981
3888798	576301.9	-566.858	0.0044747	0.0012525210000000001	9.727193	7976198.0	99.40626999999999	0.12013230000000001	7.719243e-07	-0.08571215	-0.14194720000000002	0.5503859	0.6068326999999999	6.319342	2.7305349999999997	0.8193349	0.233656	-0.2953514	0.1962721	0.04814962	2198.471	129.0834	4304.686	1.000002	0.0009576794	8692.841	0.9238863000000002	0.9999995999999999	0.8666431	1022338.0	6144.578	0.0017954960000000002	0.0005271838	0.4342427	10328740.0	30.99738	0.01900559	1.085352e-06	0.81117	0.8307546999999998	0.581805	0.5751149	0.2186902	0.6231269	0.4709823	0.6734145	0.8788623999999999	0.1289728	0.405303	6336.156999999999	25.18071	1129.027	2.6411740000000003e-05	0.0005690997	471.676	0.05012704	6.603049999999999e-06	0.14199520000000002
